Word,Tag,Sentence_ID,STIX_Tag,Source
The,O,100000,O,Augment
browser,O,100000,O,Augment
displayed,O,100000,O,Augment
a,O,100000,O,Augment
security,O,100000,O,Augment
warning,O,100000,O,Augment
indicating,O,100000,O,Augment
that,O,100000,O,Augment
the,O,100000,O,Augment
secure,B-SOFTWARE,100000,B-SOFTWARE,Augment
sockets,I-SOFTWARE,100000,I-SOFTWARE,Augment
layer,I-SOFTWARE,100000,I-SOFTWARE,Augment
certificate,O,100000,O,Augment
presented,O,100000,O,Augment
by,O,100000,O,Augment
the,O,100000,O,Augment
website,O,100000,O,Augment
does,O,100000,O,Augment
not,O,100000,O,Augment
match,O,100000,O,Augment
the,O,100000,O,Augment
expected,O,100000,O,Augment
issuer,O,100000,O,Augment
suggesting,O,100000,O,Augment
a,O,100000,O,Augment
man,B-METHOD,100000,B-METHOD,Augment
in,I-METHOD,100000,I-METHOD,Augment
the,I-METHOD,100000,I-METHOD,Augment
middle,I-METHOD,100000,I-METHOD,Augment
attack.,I-METHOD,100000,I-METHOD,Augment
Attackers,O,100001,O,Augment
may,O,100001,O,Augment
perform,O,100001,O,Augment
a,O,100001,O,Augment
man,B-METHOD,100001,B-METHOD,Augment
in,I-METHOD,100001,I-METHOD,Augment
the,I-METHOD,100001,I-METHOD,Augment
middle,I-METHOD,100001,I-METHOD,Augment
attack,O,100001,O,Augment
on,O,100001,O,Augment
unencrypted,O,100001,O,Augment
Wi-Fi,O,100001,O,Augment
networks.,O,100001,O,Augment
Phishing,B-METHOD,100002,B-METHOD,Augment
and,O,100002,O,Augment
ransomware,O,100002,O,Augment
are,O,100002,O,Augment
common,O,100002,O,Augment
attack,O,100002,O,Augment
methods.,O,100002,O,Augment
